iter	Passed	Remaining
423	2240	3043
424	2245	3037
425	2250	3031
426	2254	3025
427	2259	3019
428	2264	3014
429	2269	3008
430	2274	3002
431	2278	2996
432	2283	2990
433	2288	2984
434	2293	2978
435	2298	2972
436	2302	2966
437	2307	2961
438	2312	2955
439	2317	2949
440	2322	2943
441	2327	2937
442	2331	2931
443	2336	2926
444	2341	2920
445	2346	2914
446	2351	2909
447	2356	2903
448	2361	2897
449	2366	2892
450	2371	2886
451	2376	2880
452	2380	2874
453	2385	2869
454	2390	2863
455	2395	2857
456	2399	2851
457	2404	2845
458	2409	2839
459	2414	2833
460	2418	2827
461	2424	2823
462	2432	2821
463	2438	2816
464	2442	2810
465	2447	2804
466	2452	2799
467	2457	2793
468	2462	2788
469	2467	2782
470	2472	2777
471	2477	2771
472	2482	2765
473	2487	2759
474	2492	2754
475	2497	2749
476	2502	2743
477	2506	2737
478	2511	2731
479	2516	2725
480	2520	2719
481	2525	2714
482	2530	2708
483	2535	2703
484	2540	2697
485	2545	2692
486	2550	2686
487	2554	2680
488	2559	2674
489	2564	2669
490	2569	2663
491	2574	2658
492	2579	2652
493	2583	2646
494	2588	2640
495	2593	2635
496	2598	2629
497	2603	2624
498	2607	2618
499	2612	2612
500	2617	2606
501	2622	2601
502	2627	2595
503	2631	2589
504	2636	2584
505	2640	2578
506	2645	2572
507	2648	2565
508	2653	2559
509	2658	2554
510	2663	2548
511	2668	2543
512	2673	2538
513	2678	2532
514	2683	2526
515	2688	2521
516	2693	2516
517	2698	2510
518	2702	2504
519	2707	2499
520	2712	2494
521	2717	2488
522	2723	2483
523	2727	2477
524	2732	2472
525	2737	2466
526	2742	2461
527	2746	2455
528	2751	2449
529	2756	2444
530	2761	2438
531	2766	2433
532	2771	2427
533	2776	2422
534	2781	2417
535	2786	2412
536	2791	2406
537	2796	2401
538	2800	2395
539	2805	2390
540	2810	2384
541	2815	2379
542	2820	2374
543	2828	2371
544	2836	2368
545	2841	2362
546	2846	2357
547	2851	2351
548	2856	2346
549	2860	2340
550	2865	2335
551	2871	2330
552	2876	2324
553	2881	2319
554	2886	2314
555	2891	2308
556	2895	2303
557	2900	2297
558	2905	2292
559	2910	2286
560	2915	2281
561	2919	2275
562	2924	2269
563	2929	2264
564	2934	2259
565	2939	2253
566	2944	2248
567	2948	2242
568	2953	2236
569	2958	2231
570	2962	2226
571	2967	2220
572	2972	2215
573	2977	2209
574	2982	2204
575	2987	2198
576	2992	2193
577	2997	2188
578	3001	2182
579	3006	2177
580	3011	2171
581	3016	2166
582	3021	2161
583	3026	2156
584	3032	2151
585	3037	2145
586	3041	2140
587	3047	2134
588	3051	2129
589	3056	2124
590	3061	2118
591	3066	2113
592	3071	2107
593	3076	2102
594	3081	2097
595	3086	2092
596	3091	2086
597	3096	2081
598	3101	2076
599	3106	2070
600	3110	2065
601	3115	2059
602	3120	2054
603	3125	2049
604	3130	2043
605	3135	2038
606	3140	2033
607	3145	2027
608	3150	2022
609	3155	2017
610	3159	2011
611	3164	2006
612	3169	2001
613	3174	1995
614	3179	1990
615	3183	1984
616	3188	1979
617	3193	1974
618	3198	1968
619	3206	1965
620	3212	1960
621	3217	1955
622	3221	1949
623	3226	1944
624	3231	1938
625	3236	1933
626	3240	1927
627	3245	1922
628	3250	1917
629	3255	1911
630	3260	1906
631	3264	1900
632	3269	1895
633	3274	1890
634	3279	1884
635	3283	1879
636	3288	1874
637	3293	1868
638	3297	1863
639	3302	1857
640	3307	1852
641	3312	1846
642	3316	1841
643	3321	1836
644	3326	1830
645	3330	1825
646	3335	1819
647	3342	1815
648	3346	1810
649	3351	1804
650	3356	1799
651	3361	1794
652	3366	1788
653	3370	1783
654	3375	1778
655	3380	1772
656	3385	1767
657	3389	1761
658	3394	1756
659	3399	1751
660	3403	1745
661	3408	1740
662	3413	1735
663	3418	1729
664	3423	1724
665	3427	1719
666	3432	1713
667	3437	1708
668	3442	1703
669	3447	1697
670	3451	1692
671	3456	1687
672	3461	1681
673	3466	1676
674	3471	1671
675	3475	1665
676	3480	1660
677	3485	1655
678	3490	1649
679	3494	1644
680	3499	1639
681	3504	1634
682	3509	1628
683	3513	1623
684	3519	1618
685	3523	1612
686	3528	1607
687	3533	1602
688	3538	1597
689	3543	1591
690	3547	1586
691	3552	1581
692	3557	1575
