iter	Logloss
0	0.6854999065
1	0.6783989668
2	0.6719973087
3	0.6649683118
4	0.6578439474
5	0.6501823068
6	0.6425267458
7	0.6362540722
8	0.6285253763
9	0.622099638
10	0.6163200736
11	0.610317111
12	0.6029654145
13	0.5976085067
14	0.5921264887
15	0.5855611563
16	0.580319941
17	0.5734577775
18	0.5674233437
19	0.5622414351
20	0.557002604
21	0.5512816906
22	0.5458581448
23	0.5406979322
24	0.5352984071
25	0.5295271873
26	0.5242683887
27	0.5194315314
28	0.5147169828
29	0.509460032
30	0.5043665767
31	0.4999775887
32	0.495706737
33	0.491517216
34	0.4869377017
35	0.4821572304
36	0.4777220488
37	0.4737479687
38	0.4698584378
39	0.465210557
40	0.4615373611
41	0.4572812617
42	0.4533783197
43	0.4496821165
44	0.4458524883
45	0.4423130751
46	0.4387168288
47	0.4352399111
48	0.4320253134
49	0.4284457266
50	0.4249093533
51	0.4214977026
52	0.4181513786
53	0.4151240587
54	0.4116691351
55	0.4082304835
56	0.4052009284
57	0.4019596279
58	0.398901403
59	0.3959964514
60	0.392590344
61	0.3895869851
62	0.387136817
63	0.3839207292
64	0.3813717961
65	0.378015101
66	0.3756261766
67	0.3730406761
68	0.3699352443
69	0.3670104444
70	0.3650900722
71	0.3627426922
72	0.3604628444
73	0.3582699597
74	0.3559041321
75	0.3537478745
76	0.3511366248
77	0.3494331241
78	0.3472053409
79	0.3452756107
80	0.3434463739
81	0.341350466
82	0.3385385275
83	0.3366277814
84	0.3345738351
85	0.3328969479
86	0.3312032819
87	0.32874614
88	0.3267739415
89	0.3246438503
90	0.3227280676
91	0.3210065365
92	0.3190563321
93	0.3174584508
94	0.3161272407
95	0.3144300282
96	0.3121294677
97	0.3100733459
98	0.3083844483
99	0.3062229455
100	0.3045508265
101	0.3029983044
102	0.301188767
103	0.2994843721
104	0.297619313
105	0.2961478233
106	0.2945472002
107	0.293143332
108	0.2914128006
109	0.2896878719
110	0.2882170081
111	0.286796689
112	0.2855198085
113	0.2842870951
114	0.282963872
115	0.2818438113
116	0.2801781893
117	0.2791897655
118	0.2776072025
119	0.2758800387
120	0.2743585408
121	0.273170352
122	0.2719093561
123	0.2706597745
124	0.2694620192
125	0.2681349516
126	0.2668122947
127	0.2657649815
128	0.264683187
129	0.2638964057
130	0.2627052665
131	0.2614787817
132	0.2602997124
133	0.2590945363
134	0.2580587268
135	0.2568539381
136	0.2559497356
137	0.2547422647
138	0.2536039352
139	0.2527778149
140	0.2517814338
141	0.2507562041
142	0.2497684658
143	0.2488738447
144	0.2480442822
145	0.2471981645
146	0.2464092672
147	0.2452381253
148	0.2442638874
149	0.2432252914
150	0.242126137
151	0.2411352098
152	0.2404213548
153	0.2398474365
154	0.2388238162
155	0.2379089296
156	0.2369457781
157	0.2359488457
158	0.2351504266
159	0.2342550159
160	0.2332434654
161	0.2322912663
162	0.2314464897
163	0.2302748114
164	0.229405731
165	0.2287310958
166	0.2281345129
167	0.2274868488
168	0.2266398072
169	0.2259474397
170	0.225484997
171	0.2247011662
172	0.2237146199
173	0.2230355889
174	0.2225584537
175	0.2218492031
176	0.2210087478
177	0.2201224267
178	0.2193419039
179	0.2185053527
180	0.217571944
181	0.2168283165
182	0.2161384076
183	0.2151524723
184	0.2146025598
185	0.2140333205
186	0.2134516239
187	0.2127958536
188	0.2121549845
